run,operation,started,time,status,label,base_loss,batch_size,csv_train,decay_f,exp,lambd,load_checkpoint,lr,metric,model_name,n_classes,n_epochs,optimizer,patience,pretrained,save_model,step,auc
23be28f8,eyepacs:train_multi_task,2020-03-18 10:03:53,2:46:09,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_qualities.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50 n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,focal_loss,8,train_all_qualities.csv,0.1,1,0,False,0.0001,auc,resnext50,18,200,sgd,10,True,False,0,0.8522109985351562
03729035,eyepacs:train_multi_task,2020-03-18 09:13:14,0:50:39,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_qualities.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50_sws n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,focal_loss,8,train_all_qualities.csv,0.1,1,0,False,0.0001,auc,resnet50_sws,18,200,sgd,10,True,False,0,0.855318009853363
57d45ffe,eyepacs:train_multi_task,2020-03-18 07:06:36,2:06:37,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_qualities.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50 n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,focal_loss,8,train_all_qualities.csv,0.1,1,0,False,0.0001,auc,resnet50,18,200,sgd,10,True,False,0,0.8455139994621277
99f914b0,eyepacs:train_multi_task,2020-03-18 06:47:48,0:18:47,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_qualities.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.001 metric=auc model_name=resnext50_sws n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,focal_loss,8,train_all_qualities.csv,0.1,1,0,False,0.001,auc,resnext50_sws,18,200,sgd,10,True,False,0,0.8527929782867432
9e419fc9,eyepacs:train_multi_task,2020-03-18 06:13:03,0:34:45,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_qualities.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.001 metric=auc model_name=resnext50 n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,focal_loss,8,train_all_qualities.csv,0.1,1,0,False,0.001,auc,resnext50,18,200,sgd,10,True,False,0,0.8551639914512634
29398a50,eyepacs:train_multi_task,2020-03-18 05:57:58,0:15:04,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_qualities.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.001 metric=auc model_name=resnet50_sws n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,focal_loss,8,train_all_qualities.csv,0.1,1,0,False,0.001,auc,resnet50_sws,18,200,sgd,10,True,False,0,0.8487880229949951
d43380a9,eyepacs:train_multi_task,2020-03-18 05:31:14,0:26:43,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_qualities.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.001 metric=auc model_name=resnet50 n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,focal_loss,8,train_all_qualities.csv,0.1,1,0,False,0.001,auc,resnet50,18,200,sgd,10,True,False,0,0.8549410104751587
a54792f1,eyepacs:train_multi_task,2020-03-18 04:51:53,0:39:20,completed,base_loss=ce batch_size=8 csv_train=train_all_qualities.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50_sws n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,ce,8,train_all_qualities.csv,0.1,1,0,False,0.0001,auc,resnext50_sws,18,200,sgd,10,True,False,0,0.858788013458252
0ae120d5,eyepacs:train_multi_task,2020-03-18 03:29:27,1:22:26,completed,base_loss=ce batch_size=8 csv_train=train_all_qualities.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50 n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,ce,8,train_all_qualities.csv,0.1,1,0,False,0.0001,auc,resnext50,18,200,sgd,10,True,False,0,0.8560709953308105
e165047a,eyepacs:train_multi_task,2020-03-18 03:04:50,0:24:37,completed,base_loss=ce batch_size=8 csv_train=train_all_qualities.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50_sws n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,ce,8,train_all_qualities.csv,0.1,1,0,False,0.0001,auc,resnet50_sws,18,200,sgd,10,True,False,0,0.8547070026397705
d687a834,eyepacs:train_multi_task,2020-03-18 02:03:59,1:00:51,completed,base_loss=ce batch_size=8 csv_train=train_all_qualities.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50 n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,ce,8,train_all_qualities.csv,0.1,1,0,False,0.0001,auc,resnet50,18,200,sgd,10,True,False,0,0.8534049987792969
8c7f6871,eyepacs:train_multi_task,2020-03-18 01:45:13,0:18:45,completed,base_loss=ce batch_size=8 csv_train=train_all_qualities.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.001 metric=auc model_name=resnext50_sws n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,ce,8,train_all_qualities.csv,0.1,1,0,False,0.001,auc,resnext50_sws,18,200,sgd,10,True,False,0,0.8509929776191711
3d2ea574,eyepacs:train_multi_task,2020-03-18 01:25:31,0:19:41,completed,base_loss=ce batch_size=8 csv_train=train_all_qualities.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.001 metric=auc model_name=resnext50 n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,ce,8,train_all_qualities.csv,0.1,1,0,False,0.001,auc,resnext50,18,200,sgd,10,True,False,0,0.8550779819488525
b227dee5,eyepacs:train_multi_task,2020-03-18 01:11:08,0:14:23,completed,base_loss=ce batch_size=8 csv_train=train_all_qualities.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.001 metric=auc model_name=resnet50_sws n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,ce,8,train_all_qualities.csv,0.1,1,0,False,0.001,auc,resnet50_sws,18,200,sgd,10,True,False,0,0.8487210273742676
c6f51b02,eyepacs:train_multi_task,2020-03-18 00:56:02,0:15:06,completed,base_loss=ce batch_size=8 csv_train=train_all_qualities.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.001 metric=auc model_name=resnet50 n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,ce,8,train_all_qualities.csv,0.1,1,0,False,0.001,auc,resnet50,18,200,sgd,10,True,False,0,0.8541619777679443
