run,operation,started,time,status,label,base_loss,batch_size,csv_train,decay_f,exp,lambd,load_checkpoint,lr,metric,model_name,n_epochs,optimizer,oversample,patience,pretrained,save_model,step,acc,auc,kappa
ef4a221a,eyepacs:train,2020-03-17 15:44:42,0:07:36,completed,base_loss=focal_loss batch_size=8 csv_train=train_mac.csv decay_f=0.1 exp=2 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,focal_loss,8,train_mac.csv,0.1,2,10,models/resnet50_eyepacs,0.0001,kappa,resnet50,50,sgd,1/4/2/2/7,5,True,False,0,0.6899999976158142,0.8942639827728271,0.8488050103187561
8ed6b08f,eyepacs:train,2020-03-17 15:31:36,0:13:06,completed,base_loss=focal_loss batch_size=8 csv_train=train_mac.csv decay_f=0.1 exp=2 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=auc model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,focal_loss,8,train_mac.csv,0.1,2,10,models/resnet50_eyepacs,0.0001,auc,resnet50,50,sgd,1/4/2/2/7,5,True,False,0,0.6600000262260437,0.9029859900474548,0.8301100134849548
005f7d93,eyepacs:train,2020-03-17 15:22:37,0:08:58,completed,base_loss=focal_loss batch_size=8 csv_train=train_mac.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,focal_loss,8,train_mac.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa,resnet50,50,sgd,1/4/2/2/7,5,True,False,0,0.699999988079071,0.9061819911003113,0.8524199724197388
e7d4fc86,eyepacs:train,2020-03-17 15:11:33,0:11:04,completed,base_loss=focal_loss batch_size=8 csv_train=train_mac.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=auc model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,focal_loss,8,train_mac.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,auc,resnet50,50,sgd,1/4/2/2/7,5,True,False,0,0.675000011920929,0.9093199968338013,0.8454239964485168
206454a6,eyepacs:train,2020-03-17 15:01:10,0:10:22,completed,base_loss=ce batch_size=8 csv_train=train_mac.csv decay_f=0.1 exp=2 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,ce,8,train_mac.csv,0.1,2,10,models/resnet50_eyepacs,0.0001,kappa,resnet50,50,sgd,1/4/2/2/7,5,True,False,0,0.6549999713897705,0.9044650197029114,0.8392279744148254
9f4a571b,eyepacs:train,2020-03-17 14:50:06,0:11:03,completed,base_loss=ce batch_size=8 csv_train=train_mac.csv decay_f=0.1 exp=2 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=auc model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,ce,8,train_mac.csv,0.1,2,10,models/resnet50_eyepacs,0.0001,auc,resnet50,50,sgd,1/4/2/2/7,5,True,False,0,0.6700000166893005,0.9060050249099731,0.8251699805259705
03f1cd25,eyepacs:train,2020-03-17 14:41:48,0:08:18,completed,base_loss=ce batch_size=8 csv_train=train_mac.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,ce,8,train_mac.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa,resnet50,50,sgd,1/4/2/2/7,5,True,False,0,0.6800000071525574,0.9054329991340637,0.8447489738464355
e32ea5db,eyepacs:train,2020-03-17 14:30:44,0:11:03,completed,base_loss=ce batch_size=8 csv_train=train_mac.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=auc model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,ce,8,train_mac.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,auc,resnet50,50,sgd,1/4/2/2/7,5,True,False,0,0.6800000071525574,0.9096130132675171,0.8399959802627563
f0dd8c87,eyepacs:train,2020-03-17 14:20:19,0:10:24,completed,base_loss=gls batch_size=8 csv_train=train_mac.csv decay_f=0.1 exp=2 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,gls,8,train_mac.csv,0.1,2,10,models/resnet50_eyepacs,0.0001,kappa,resnet50,50,sgd,1/4/2/2/7,5,True,False,0,0.625,0.8969500064849854,0.835623025894165
b08a9796,eyepacs:train,2020-03-17 14:07:09,0:13:10,completed,base_loss=gls batch_size=8 csv_train=train_mac.csv decay_f=0.1 exp=2 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=auc model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,gls,8,train_mac.csv,0.1,2,10,models/resnet50_eyepacs,0.0001,auc,resnet50,50,sgd,1/4/2/2/7,5,True,False,0,0.625,0.9016780257225037,0.8186650276184082
