run,operation,started,time,status,label,base_loss,batch_size,csv_train,decay_f,exp,lambd,load_checkpoint,lr,metric,model_name,n_epochs,optimizer,oversample,patience,pretrained,save_model,step,acc,auc,kappa
06317615,eyepacs:train,2020-03-14 19:09:42,0:04:09,completed,base_loss=focal_loss batch_size=8 csv_train=train_od_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_od_11Mar lr=0.0001 metric=kappa model_name=resnet50 n_epochs=100 optimizer=sgd oversample=2/2/2/5/12 patience=10 pretrained=yes save_model=no,focal_loss,8,train_od_UW.csv,0.1,1,10,experiments/best_od_11Mar,0.0001,kappa,resnet50,100,sgd,2/2/2/5/12,10,True,False,0,0.5714290142059326,0.8940569758415222,0.8224340081214905
ea4f6c01,eyepacs:train,2020-03-14 19:05:05,0:04:37,completed,base_loss=gls batch_size=8 csv_train=train_od_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_od_11Mar lr=0.0001 metric=kappa model_name=resnet50 n_epochs=100 optimizer=sgd oversample=2/2/2/5/12 patience=10 pretrained=yes save_model=no,gls,8,train_od_UW.csv,0.1,1,10,experiments/best_od_11Mar,0.0001,kappa,resnet50,100,sgd,2/2/2/5/12,10,True,False,0,0.7619050145149231,0.9128959774971008,0.8772609829902649
97afeb09,eyepacs:train,2020-03-14 19:01:02,0:04:02,completed,base_loss=ce batch_size=8 csv_train=train_od_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_od_11Mar lr=0.0001 metric=kappa model_name=resnet50 n_epochs=100 optimizer=sgd oversample=2/2/2/5/12 patience=10 pretrained=yes save_model=no,ce,8,train_od_UW.csv,0.1,1,10,experiments/best_od_11Mar,0.0001,kappa,resnet50,100,sgd,2/2/2/5/12,10,True,False,0,0.5714290142059326,0.89547199010849,0.8109909892082214
96bb4b57,eyepacs:dr_grade_from_eyepacs_UW,2020-03-14 19:01:01,0:12:51,completed,,,,,,,,,,,,,,,,,,0,0.5714290142059326,0.8940569758415222,0.8224340081214905
317db05f,eyepacs:train,2020-03-14 18:51:30,0:05:36,completed,base_loss=focal_loss batch_size=8 csv_train=train_od_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=no lr=0.0001 metric=kappa model_name=resnext50 n_epochs=100 optimizer=sgd oversample=2/2/2/5/12 patience=10 pretrained=yes save_model=no,focal_loss,8,train_od_UW.csv,0.1,1,10,False,0.0001,kappa,resnext50,100,sgd,2/2/2/5/12,10,True,False,0,0.5714290142059326,0.8312349915504456,0.7076020240783691
fa9d71c3,eyepacs:train,2020-03-14 18:50:27,0:01:02,completed,base_loss=focal_loss batch_size=8 csv_train=train_od_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=no lr=0.001 metric=kappa model_name=resnet50_sws n_epochs=100 optimizer=sgd oversample=2/2/2/5/12 patience=10 pretrained=yes save_model=no,focal_loss,8,train_od_UW.csv,0.1,1,10,False,0.001,kappa,resnet50_sws,100,sgd,2/2/2/5/12,10,True,False,0,0.4285709857940674,0.6536989808082581,0.6456689834594727
4d881c41,eyepacs:train,2020-03-14 18:48:36,0:01:51,completed,base_loss=focal_loss batch_size=8 csv_train=train_od_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=no lr=0.001 metric=kappa model_name=resnext50_sws n_epochs=100 optimizer=sgd oversample=2/2/2/5/12 patience=10 pretrained=yes save_model=no,focal_loss,8,train_od_UW.csv,0.1,1,10,False,0.001,kappa,resnext50_sws,100,sgd,2/2/2/5/12,10,True,False,0,0.4761900007724762,0.8155689835548401,0.5630090236663818
ede71dd8,eyepacs:train,2020-03-14 18:44:34,0:04:02,completed,base_loss=focal_loss batch_size=8 csv_train=train_od_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=no lr=0.001 metric=kappa model_name=resnext50 n_epochs=100 optimizer=sgd oversample=2/2/2/5/12 patience=10 pretrained=yes save_model=no,focal_loss,8,train_od_UW.csv,0.1,1,10,False,0.001,kappa,resnext50,100,sgd,2/2/2/5/12,10,True,False,0,0.38095200061798096,0.8148660063743591,0.7525879740715027
37ece3c7,eyepacs:train,2020-03-14 18:42:14,0:02:19,completed,base_loss=gls batch_size=8 csv_train=train_od_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=no lr=0.0001 metric=kappa model_name=resnet50_sws n_epochs=100 optimizer=sgd oversample=2/2/2/5/12 patience=10 pretrained=yes save_model=no,gls,8,train_od_UW.csv,0.1,1,10,False,0.0001,kappa,resnet50_sws,100,sgd,2/2/2/5/12,10,True,False,0,0.4761900007724762,0.818464994430542,0.6686679720878601
4d740ccf,eyepacs:train,2020-03-14 18:38:47,0:03:26,completed,base_loss=gls batch_size=8 csv_train=train_od_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=no lr=0.0001 metric=kappa model_name=resnext50_sws n_epochs=100 optimizer=sgd oversample=2/2/2/5/12 patience=10 pretrained=yes save_model=no,gls,8,train_od_UW.csv,0.1,1,10,False,0.0001,kappa,resnext50_sws,100,sgd,2/2/2/5/12,10,True,False,0,0.5714290142059326,0.8095729947090149,0.6695569753646851
