run,operation,started,time,status,label,base_loss,batch_size,csv_train,decay_f,exp,lambd,load_checkpoint,lr,metric,model_name,n_epochs,optimizer,oversample,patience,pretrained,save_model,step,acc,auc,kappa
5d43fa1a,eyepacs:train,2020-03-17 21:47:37,0:03:06,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_UW.csv decay_f=0.1 exp=2 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=auc model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/1/1/3/8 patience=5 pretrained=yes save_model=no,focal_loss,8,train_all_UW.csv,0.1,2,10,models/resnet50_eyepacs,0.0001,auc,resnet50,50,sgd,1/1/1/3/8,5,True,False,0,0.5799999833106995,0.8777040243148804,0.765936017036438
e86295bb,eyepacs:train,2020-03-17 21:45:12,0:02:24,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_UW.csv decay_f=0.1 exp=2 lambd=10 load_checkpoint=experiments/best_auc_both_20Mar lr=0.0001 metric=auc model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/1/1/3/8 patience=5 pretrained=yes save_model=no,focal_loss,8,train_all_UW.csv,0.1,2,10,experiments/best_auc_both_20Mar,0.0001,auc,resnet50,50,sgd,1/1/1/3/8,5,True,False,0,0.5400000214576721,0.8660010099411011,0.763716995716095
699d0890,eyepacs:train,2020-03-17 21:42:06,0:03:06,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=auc model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/1/1/3/8 patience=5 pretrained=yes save_model=no,focal_loss,8,train_all_UW.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,auc,resnet50,50,sgd,1/1/1/3/8,5,True,False,0,0.6000000238418579,0.8867470026016235,0.7722390294075012
91358c1b,eyepacs:train,2020-03-17 21:39:32,0:02:33,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_auc_both_20Mar lr=0.0001 metric=auc model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/1/1/3/8 patience=5 pretrained=yes save_model=no,focal_loss,8,train_all_UW.csv,0.1,1,10,experiments/best_auc_both_20Mar,0.0001,auc,resnet50,50,sgd,1/1/1/3/8,5,True,False,0,0.5400000214576721,0.8708599805831909,0.77947998046875
99396d57,eyepacs:train,2020-03-17 21:36:25,0:03:07,completed,base_loss=gls batch_size=8 csv_train=train_all_UW.csv decay_f=0.1 exp=2 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=auc model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/1/1/3/8 patience=5 pretrained=yes save_model=no,gls,8,train_all_UW.csv,0.1,2,10,models/resnet50_eyepacs,0.0001,auc,resnet50,50,sgd,1/1/1/3/8,5,True,False,0,0.6399999856948853,0.891493022441864,0.8228740096092224
cd2cb19a,eyepacs:train,2020-03-17 21:33:51,0:02:33,completed,base_loss=gls batch_size=8 csv_train=train_all_UW.csv decay_f=0.1 exp=2 lambd=10 load_checkpoint=experiments/best_auc_both_20Mar lr=0.0001 metric=auc model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/1/1/3/8 patience=5 pretrained=yes save_model=no,gls,8,train_all_UW.csv,0.1,2,10,experiments/best_auc_both_20Mar,0.0001,auc,resnet50,50,sgd,1/1/1/3/8,5,True,False,0,0.5600000023841858,0.8728060126304626,0.7377319931983948
afeb9987,eyepacs:train,2020-03-17 21:31:17,0:02:33,completed,base_loss=gls batch_size=8 csv_train=train_all_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=auc model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/1/1/3/8 patience=5 pretrained=yes save_model=no,gls,8,train_all_UW.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,auc,resnet50,50,sgd,1/1/1/3/8,5,True,False,0,0.6200000047683716,0.8910160064697266,0.7887459993362427
4be658f7,eyepacs:train,2020-03-17 21:28:44,0:02:33,completed,base_loss=gls batch_size=8 csv_train=train_all_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_auc_both_20Mar lr=0.0001 metric=auc model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/1/1/3/8 patience=5 pretrained=yes save_model=no,gls,8,train_all_UW.csv,0.1,1,10,experiments/best_auc_both_20Mar,0.0001,auc,resnet50,50,sgd,1/1/1/3/8,5,True,False,0,0.5400000214576721,0.876039981842041,0.7702929973602295
f168463d,eyepacs:train,2020-03-17 21:25:37,0:03:06,completed,base_loss=ce batch_size=8 csv_train=train_all_UW.csv decay_f=0.1 exp=2 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=auc model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/1/1/3/8 patience=5 pretrained=yes save_model=no,ce,8,train_all_UW.csv,0.1,2,10,models/resnet50_eyepacs,0.0001,auc,resnet50,50,sgd,1/1/1/3/8,5,True,False,0,0.6000000238418579,0.883421003818512,0.7880809903144836
d46e72cb,eyepacs:train,2020-03-17 21:23:04,0:02:33,completed,base_loss=ce batch_size=8 csv_train=train_all_UW.csv decay_f=0.1 exp=2 lambd=10 load_checkpoint=experiments/best_auc_both_20Mar lr=0.0001 metric=auc model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/1/1/3/8 patience=5 pretrained=yes save_model=no,ce,8,train_all_UW.csv,0.1,2,10,experiments/best_auc_both_20Mar,0.0001,auc,resnet50,50,sgd,1/1/1/3/8,5,True,False,0,0.5600000023841858,0.8689630031585693,0.74931401014328
