run,operation,started,time,status,label,base_loss,batch_size,csv_train,decay_f,exp,lambd,load_checkpoint,lr,metric,model_name,n_epochs,optimizer,oversample,patience,pretrained,save_model,step,acc,auc,kappa
79619add,eyepacs:train,2020-03-18 15:00:33,0:03:06,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_UW.csv decay_f=0.1 exp=2 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/1/1/3/8 patience=5 pretrained=yes save_model=no,focal_loss,8,train_all_UW.csv,0.1,2,10,models/resnet50_eyepacs,0.0001,kappa,resnet50,50,sgd,1/1/1/3/8,5,True,False,0,0.5799999833106995,0.8755940198898315,0.777301013469696
63bf8127,eyepacs:train,2020-03-18 14:58:16,0:02:17,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_UW.csv decay_f=0.1 exp=2 lambd=10 load_checkpoint=experiments/best_kappa_both_20Mar lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/1/1/3/8 patience=5 pretrained=yes save_model=no,focal_loss,8,train_all_UW.csv,0.1,2,10,experiments/best_kappa_both_20Mar,0.0001,kappa,resnet50,50,sgd,1/1/1/3/8,5,True,False,0,0.5799999833106995,0.8774960041046143,0.7826930284500122
de538c94,eyepacs:train,2020-03-18 14:55:09,0:03:07,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/1/1/3/8 patience=5 pretrained=yes save_model=no,focal_loss,8,train_all_UW.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa,resnet50,50,sgd,1/1/1/3/8,5,True,False,0,0.6200000047683716,0.8846259713172913,0.7900180220603943
c648023f,eyepacs:train,2020-03-18 14:52:02,0:03:06,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_kappa_both_20Mar lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/1/1/3/8 patience=5 pretrained=yes save_model=no,focal_loss,8,train_all_UW.csv,0.1,1,10,experiments/best_kappa_both_20Mar,0.0001,kappa,resnet50,50,sgd,1/1/1/3/8,5,True,False,0,0.5799999833106995,0.8792999982833862,0.8203830122947693
7554c0fa,eyepacs:train,2020-03-18 14:49:04,0:02:58,completed,base_loss=gls batch_size=8 csv_train=train_all_UW.csv decay_f=0.1 exp=2 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/1/1/3/8 patience=5 pretrained=yes save_model=no,gls,8,train_all_UW.csv,0.1,2,10,models/resnet50_eyepacs,0.0001,kappa,resnet50,50,sgd,1/1/1/3/8,5,True,False,0,0.6200000047683716,0.8838300108909607,0.7863709926605225
94bc4139,eyepacs:train,2020-03-18 14:45:48,0:03:15,completed,base_loss=gls batch_size=8 csv_train=train_all_UW.csv decay_f=0.1 exp=2 lambd=10 load_checkpoint=experiments/best_kappa_both_20Mar lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/1/1/3/8 patience=5 pretrained=yes save_model=no,gls,8,train_all_UW.csv,0.1,2,10,experiments/best_kappa_both_20Mar,0.0001,kappa,resnet50,50,sgd,1/1/1/3/8,5,True,False,0,0.5799999833106995,0.8867279887199402,0.8141419887542725
99ef50cb,eyepacs:train,2020-03-18 14:43:06,0:02:42,completed,base_loss=gls batch_size=8 csv_train=train_all_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/1/1/3/8 patience=5 pretrained=yes save_model=no,gls,8,train_all_UW.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa,resnet50,50,sgd,1/1/1/3/8,5,True,False,0,0.5799999833106995,0.8839679956436157,0.7902960181236267
6fa7fc02,eyepacs:train,2020-03-18 14:40:32,0:02:34,completed,base_loss=gls batch_size=8 csv_train=train_all_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_kappa_both_20Mar lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/1/1/3/8 patience=5 pretrained=yes save_model=no,gls,8,train_all_UW.csv,0.1,1,10,experiments/best_kappa_both_20Mar,0.0001,kappa,resnet50,50,sgd,1/1/1/3/8,5,True,False,0,0.6399999856948853,0.8903660178184509,0.8297010064125061
fcfa4537,eyepacs:train,2020-03-18 14:37:25,0:03:06,completed,base_loss=ce batch_size=8 csv_train=train_all_UW.csv decay_f=0.1 exp=2 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/1/1/3/8 patience=5 pretrained=yes save_model=no,ce,8,train_all_UW.csv,0.1,2,10,models/resnet50_eyepacs,0.0001,kappa,resnet50,50,sgd,1/1/1/3/8,5,True,False,0,0.6399999856948853,0.8842899799346924,0.7327240109443665
76247e1b,eyepacs:train,2020-03-18 14:35:08,0:02:16,completed,base_loss=ce batch_size=8 csv_train=train_all_UW.csv decay_f=0.1 exp=2 lambd=10 load_checkpoint=experiments/best_kappa_both_20Mar lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/1/1/3/8 patience=5 pretrained=yes save_model=no,ce,8,train_all_UW.csv,0.1,2,10,experiments/best_kappa_both_20Mar,0.0001,kappa,resnet50,50,sgd,1/1/1/3/8,5,True,False,0,0.6200000047683716,0.8874520063400269,0.8043239712715149
