run,operation,started,time,status,label,base_loss,batch_size,csv_train,decay_f,exp,lambd,load_checkpoint,lr,metric,model_name,n_epochs,optimizer,oversample,patience,pretrained,save_model,step,acc,auc,kappa
6821f3f6,eyepacs:train,2020-03-27 23:35:00,0:29:47,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_4.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,focal_loss,8,train_all_4.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/4/2/2/7,5,True,False,0,0.7275000214576721,0.9375889897346497,0.84894198179245
211e07f6,eyepacs:train,2020-03-27 22:57:08,0:37:52,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_3.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,focal_loss,8,train_all_3.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/4/2/2/7,5,True,False,0,0.75,0.9398300051689148,0.8776640295982361
1b485ad4,eyepacs:train,2020-03-27 22:16:20,0:40:47,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_2.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,focal_loss,8,train_all_2.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/4/2/2/7,5,True,False,0,0.7749999761581421,0.9401320219039917,0.8542050123214722
62811d36,eyepacs:train,2020-03-27 21:56:04,0:20:15,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_1.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,focal_loss,8,train_all_1.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/4/2/2/7,5,True,False,0,0.6924999952316284,0.914933979511261,0.85452800989151
d456ceb5,eyepacs:train,2020-03-27 21:12:35,0:43:29,completed,base_loss=gls batch_size=8 csv_train=train_all_4.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,gls,8,train_all_4.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/4/2/2/7,5,True,False,0,0.7699999809265137,0.9437839984893799,0.8732730150222778
f41818d3,eyepacs:train,2020-03-27 20:34:33,0:38:01,completed,base_loss=gls batch_size=8 csv_train=train_all_3.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,gls,8,train_all_3.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/4/2/2/7,5,True,False,0,0.7574999928474426,0.93852299451828,0.8826190233230591
932cd089,eyepacs:train,2020-03-27 19:52:17,0:42:15,completed,base_loss=gls batch_size=8 csv_train=train_all_2.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,gls,8,train_all_2.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/4/2/2/7,5,True,False,0,0.737500011920929,0.9355970025062561,0.8573989868164062
e4a7fa9d,eyepacs:train,2020-03-27 19:31:56,0:20:21,completed,base_loss=gls batch_size=8 csv_train=train_all_1.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,gls,8,train_all_1.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/4/2/2/7,5,True,False,0,0.7024999856948853,0.9128559827804565,0.8510770201683044
ee642cd8,eyepacs:train,2020-03-27 19:19:42,0:12:14,completed,base_loss=ce batch_size=8 csv_train=train_all_4.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,ce,8,train_all_4.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/4/2/2/7,5,True,False,0,0.7225000262260437,0.9308789968490601,0.8477450013160706
850317fc,eyepacs:train,2020-03-27 18:44:29,0:35:13,completed,base_loss=ce batch_size=8 csv_train=train_all_3.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,ce,8,train_all_3.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/4/2/2/7,5,True,False,0,0.762499988079071,0.9412090182304382,0.8760200142860413
