run,operation,started,time,status,label,base_loss,batch_size,csv_train,decay_f,exp,lambd,load_checkpoint,lr,metric,model_name,n_epochs,optimizer,oversample,patience,pretrained,save_model,step,acc,auc,kappa
7db476de,eyepacs:train,2020-03-31 01:27:12,0:05:11,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_4_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_both_f3 lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/1/1/3/8 patience=5 pretrained=yes save_model=no,focal_loss,8,train_all_4_UW.csv,0.1,1,10,experiments/best_both_f3,0.0001,kappa_auc_avg,resnet50,50,sgd,1/1/1/3/8,5,True,False,0,0.5192310214042664,0.8157809972763062,0.6695250272750854
8eb4dca2,eyepacs:train,2020-03-31 01:23:41,0:03:31,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_4_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/1/1/3/8 patience=5 pretrained=yes save_model=no,focal_loss,8,train_all_4_UW.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/1/1/3/8,5,True,False,0,0.48076900839805603,0.860837996006012,0.6923660039901733
007d21b3,eyepacs:train,2020-03-31 01:21:50,0:01:51,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_4_UW.csv decay_f=0.1 exp=1 lambd=1 load_checkpoint=experiments/best_both_f3 lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/1/1/3/8 patience=5 pretrained=yes save_model=no,focal_loss,8,train_all_4_UW.csv,0.1,1,1,experiments/best_both_f3,0.0001,kappa_auc_avg,resnet50,50,sgd,1/1/1/3/8,5,True,False,0,0.3846150040626526,0.7155759930610657,0.3472529947757721
950a16c7,eyepacs:train,2020-03-31 01:16:38,0:05:11,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_4_UW.csv decay_f=0.1 exp=1 lambd=1 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/1/1/3/8 patience=5 pretrained=yes save_model=no,focal_loss,8,train_all_4_UW.csv,0.1,1,1,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/1/1/3/8,5,True,False,0,0.48076900839805603,0.858951985836029,0.6809409856796265
417ae4f2,eyepacs:train,2020-03-31 01:13:46,0:02:52,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_3_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_both_f3 lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/1/1/3/8 patience=5 pretrained=yes save_model=no,focal_loss,8,train_all_3_UW.csv,0.1,1,10,experiments/best_both_f3,0.0001,kappa_auc_avg,resnet50,50,sgd,1/1/1/3/8,5,True,False,0,0.49019598960876465,0.8108339905738831,0.6179249882698059
8d8b5edd,eyepacs:train,2020-03-31 01:10:37,0:03:08,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_3_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/1/1/3/8 patience=5 pretrained=yes save_model=no,focal_loss,8,train_all_3_UW.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/1/1/3/8,5,True,False,0,0.5882350206375122,0.8213239908218384,0.7264829874038696
80b1e75d,eyepacs:train,2020-03-31 01:07:37,0:03:00,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_3_UW.csv decay_f=0.1 exp=1 lambd=1 load_checkpoint=experiments/best_both_f3 lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/1/1/3/8 patience=5 pretrained=yes save_model=no,focal_loss,8,train_all_3_UW.csv,0.1,1,1,experiments/best_both_f3,0.0001,kappa_auc_avg,resnet50,50,sgd,1/1/1/3/8,5,True,False,0,0.450980007648468,0.8144040107727051,0.5813030004501343
4ae280a9,eyepacs:train,2020-03-31 01:04:45,0:02:52,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_3_UW.csv decay_f=0.1 exp=1 lambd=1 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/1/1/3/8 patience=5 pretrained=yes save_model=no,focal_loss,8,train_all_3_UW.csv,0.1,1,1,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/1/1/3/8,5,True,False,0,0.5882350206375122,0.8044970035552979,0.694254994392395
765fa3d8,eyepacs:train,2020-03-31 01:01:45,0:02:59,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_2_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_both_f3 lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/1/1/3/8 patience=5 pretrained=yes save_model=no,focal_loss,8,train_all_2_UW.csv,0.1,1,10,experiments/best_both_f3,0.0001,kappa_auc_avg,resnet50,50,sgd,1/1/1/3/8,5,True,False,0,0.4117650091648102,0.8035730123519897,0.6302719712257385
63d1a26f,eyepacs:train,2020-03-31 00:58:46,0:02:59,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_2_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/1/1/3/8 patience=5 pretrained=yes save_model=no,focal_loss,8,train_all_2_UW.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/1/1/3/8,5,True,False,0,0.5098040103912354,0.8101999759674072,0.6333699822425842
