run,operation,started,time,status,label,base_loss,batch_size,csv_train,decay_f,exp,lambd,load_checkpoint,lr,metric,model_name,n_epochs,optimizer,oversample,patience,pretrained,save_model,step,acc,auc,kappa
cf9393f2,eyepacs:train,2020-03-27 03:24:41,0:12:12,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_4.csv decay_f=0.1 exp=2 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,focal_loss,8.0,train_all_4.csv,0.1,2.0,10.0,models/resnet50_eyepacs,0.0001,kappa,resnet50,50.0,sgd,1/4/2/2/7,5.0,True,False,0,0.7024999856948853,0.9156180024147034,0.8513320088386536
8292266d,eyepacs:train,2020-03-27 03:00:19,0:24:21,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_3.csv decay_f=0.1 exp=2 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,focal_loss,8.0,train_all_3.csv,0.1,2.0,10.0,models/resnet50_eyepacs,0.0001,kappa,resnet50,50.0,sgd,1/4/2/2/7,5.0,True,False,0,0.7074999809265137,0.9281409978866576,0.8731229901313782
34449c24,eyepacs:train,2020-03-27 02:31:22,0:28:56,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_2.csv decay_f=0.1 exp=2 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,focal_loss,8.0,train_all_2.csv,0.1,2.0,10.0,models/resnet50_eyepacs,0.0001,kappa,resnet50,50.0,sgd,1/4/2/2/7,5.0,True,False,0,0.7099999785423279,0.929570972919464,0.832027018070221
95dfb07c,eyepacs:train,2020-03-27 02:12:28,0:18:54,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_1.csv decay_f=0.1 exp=2 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,focal_loss,8.0,train_all_1.csv,0.1,2.0,10.0,models/resnet50_eyepacs,0.0001,kappa,resnet50,50.0,sgd,1/4/2/2/7,5.0,True,False,0,0.6775000095367432,0.9111589789390564,0.8529599905014038
a5635974,eyepacs:train,2020-03-27 02:00:13,0:12:15,completed,base_loss=gls batch_size=8 csv_train=train_all_4.csv decay_f=0.1 exp=2 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,gls,8.0,train_all_4.csv,0.1,2.0,10.0,models/resnet50_eyepacs,0.0001,kappa,resnet50,50.0,sgd,1/4/2/2/7,5.0,True,False,0,0.6924999952316284,0.91669499874115,0.8400310277938843
36e5652d,eyepacs:train,2020-03-27 01:37:08,0:23:04,completed,base_loss=gls batch_size=8 csv_train=train_all_3.csv decay_f=0.1 exp=2 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,gls,8.0,train_all_3.csv,0.1,2.0,10.0,models/resnet50_eyepacs,0.0001,kappa,resnet50,50.0,sgd,1/4/2/2/7,5.0,True,False,0,0.7300000190734863,0.9277629852294922,0.8823609948158264
3d7222ed,eyepacs:train,2020-03-27 01:05:29,0:31:39,completed,base_loss=gls batch_size=8 csv_train=train_all_2.csv decay_f=0.1 exp=2 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,gls,8.0,train_all_2.csv,0.1,2.0,10.0,models/resnet50_eyepacs,0.0001,kappa,resnet50,50.0,sgd,1/4/2/2/7,5.0,True,False,0,0.7024999856948853,0.9287530183792114,0.8404150009155273
0ee35229,eyepacs:train,2020-03-27 00:45:10,0:20:18,completed,base_loss=gls batch_size=8 csv_train=train_all_1.csv decay_f=0.1 exp=2 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,gls,8.0,train_all_1.csv,0.1,2.0,10.0,models/resnet50_eyepacs,0.0001,kappa,resnet50,50.0,sgd,1/4/2/2/7,5.0,True,False,0,0.6899999976158142,0.9101049900054932,0.853318989276886
4762396a,eyepacs:train,2020-03-27 00:32:58,0:12:12,completed,base_loss=ce batch_size=8 csv_train=train_all_4.csv decay_f=0.1 exp=2 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,ce,8.0,train_all_4.csv,0.1,2.0,10.0,models/resnet50_eyepacs,0.0001,kappa,resnet50,50.0,sgd,1/4/2/2/7,5.0,True,False,0,0.7124999761581421,0.9251009821891784,0.8456119894981384
eee87656,eyepacs:train,2020-03-27 00:05:54,0:27:03,completed,base_loss=ce batch_size=8 csv_train=train_all_3.csv decay_f=0.1 exp=2 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,ce,8.0,train_all_3.csv,0.1,2.0,10.0,models/resnet50_eyepacs,0.0001,kappa,resnet50,50.0,sgd,1/4/2/2/7,5.0,True,False,0,0.7275000214576721,0.9365749955177308,0.8705419898033142
12b2f55a,eyepacs:train,2020-03-26 23:50:05,0:15:48,completed,base_loss=ce batch_size=8 csv_train=train_all_2.csv decay_f=0.1 exp=2 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,ce,8.0,train_all_2.csv,0.1,2.0,10.0,models/resnet50_eyepacs,0.0001,kappa,resnet50,50.0,sgd,1/4/2/2/7,5.0,True,False,0,0.7149999737739563,0.9276649951934814,0.8297349810600281
