run,operation,started,time,status,label,base_loss,batch_size,csv_train,decay_f,exp,lambd,load_checkpoint,lr,metric,model_name,n_epochs,optimizer,oversample,patience,pretrained,save_model,step,acc,auc,kappa
64b95e13,eyepacs:train,2020-03-28 02:31:37,0:10:35,completed,base_loss=focal_loss batch_size=8 csv_train=train_mac_4.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,focal_loss,8,train_mac_4.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/4/2/2/7,5,True,False,0,0.7178220152854919,0.9261119961738586,0.8535370230674744
eb1140fe,eyepacs:train,2020-03-28 02:26:13,0:05:24,completed,base_loss=focal_loss batch_size=8 csv_train=train_mac_3.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,focal_loss,8,train_mac_3.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/4/2/2/7,5,True,False,0,0.6534649729728699,0.8859829902648926,0.8055239915847778
41a1b47f,eyepacs:train,2020-03-28 02:16:48,0:09:24,completed,base_loss=focal_loss batch_size=8 csv_train=train_mac_2.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,focal_loss,8,train_mac_2.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/4/2/2/7,5,True,False,0,0.6633660197257996,0.89860600233078,0.8429719805717468
ab8c41dc,eyepacs:train,2020-03-28 02:07:50,0:08:57,completed,base_loss=focal_loss batch_size=8 csv_train=train_mac_1.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,focal_loss,8,train_mac_1.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/4/2/2/7,5,True,False,0,0.699999988079071,0.9061819911003113,0.8524199724197388
1d000f96,eyepacs:train,2020-03-28 01:58:39,0:09:10,completed,base_loss=ce batch_size=8 csv_train=train_mac_4.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,ce,8,train_mac_4.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/4/2/2/7,5,True,False,0,0.7376239895820618,0.9276189804077148,0.8618770241737366
d6066179,eyepacs:train,2020-03-28 01:46:34,0:12:05,completed,base_loss=ce batch_size=8 csv_train=train_mac_3.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,ce,8,train_mac_3.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/4/2/2/7,5,True,False,0,0.6683170199394226,0.8998870253562927,0.8011599779129028
58a0c5f9,eyepacs:train,2020-03-28 01:39:10,0:07:24,completed,base_loss=ce batch_size=8 csv_train=train_mac_2.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,ce,8,train_mac_2.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/4/2/2/7,5,True,False,0,0.6930689811706543,0.8960379958152771,0.8362690210342407
eda36d72,eyepacs:train,2020-03-28 01:30:12,0:08:57,completed,base_loss=ce batch_size=8 csv_train=train_mac_1.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,ce,8,train_mac_1.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/4/2/2/7,5,True,False,0,0.6899999976158142,0.9082790017127991,0.844219982624054
aabce65f,eyepacs:train,2020-03-28 01:21:42,0:08:30,completed,base_loss=gls batch_size=8 csv_train=train_mac_4.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,gls,8,train_mac_4.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/4/2/2/7,5,True,False,0,0.7227720022201538,0.9245839715003967,0.8613520264625549
ae9921f2,eyepacs:train,2020-03-28 01:10:14,0:11:27,completed,base_loss=gls batch_size=8 csv_train=train_mac_3.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/4/2/2/7 patience=5 pretrained=yes save_model=no,gls,8,train_mac_3.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/4/2/2/7,5,True,False,0,0.6584159731864929,0.9007740020751953,0.7887089848518372
