run,operation,started,time,status,label,base_loss,batch_size,csv_train,decay_f,exp,lambd,load_checkpoint,lr,metric,model_name,n_epochs,optimizer,oversample,patience,pretrained,save_model,step,acc,auc,kappa
225a4adc,eyepacs:train,2020-03-31 15:25:27,0:01:49,completed,base_loss=focal_loss batch_size=8 csv_train=train_od_4_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_both_f3 lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=10 pretrained=yes save_model=no,focal_loss,8,train_od_4_UW.csv,0.1,1,10,experiments/best_both_f3,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,10,True,False,0,0.4210529923439026,0.8047339916229248,0.44381898641586304
89ea6c3e,eyepacs:train,2020-03-31 15:23:07,0:02:20,completed,base_loss=focal_loss batch_size=8 csv_train=train_od_3_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_both_f3 lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=10 pretrained=yes save_model=no,focal_loss,8,train_od_3_UW.csv,0.1,1,10,experiments/best_both_f3,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,10,True,False,0,0.3684209883213043,0.6105530261993408,0.2605290114879608
1e4411d3,eyepacs:train,2020-03-31 15:22:14,0:00:52,completed,base_loss=focal_loss batch_size=8 csv_train=train_od_2_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_both_f3 lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=10 pretrained=yes save_model=no,focal_loss,8,train_od_2_UW.csv,0.1,1,10,experiments/best_both_f3,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,10,True,False,0,0.30000001192092896,0.6504690051078796,0.6503499746322632
6bdb78d4,eyepacs:train,2020-03-31 15:19:23,0:02:51,completed,base_loss=focal_loss batch_size=8 csv_train=train_od_1_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_both_f3 lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=10 pretrained=yes save_model=no,focal_loss,8,train_od_1_UW.csv,0.1,1,10,experiments/best_both_f3,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,10,True,False,0,0.619047999382019,0.8731170296669006,0.8087810277938843
b501d960,eyepacs:train,2020-03-31 15:17:32,0:01:50,completed,base_loss=gls batch_size=8 csv_train=train_od_4_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_both_f3 lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=10 pretrained=yes save_model=no,gls,8,train_od_4_UW.csv,0.1,1,10,experiments/best_both_f3,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,10,True,False,0,0.4210529923439026,0.8015580177307129,0.4760909974575043
c9ae3a99,eyepacs:train,2020-03-31 15:15:59,0:01:33,completed,base_loss=gls batch_size=8 csv_train=train_od_3_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_both_f3 lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=10 pretrained=yes save_model=no,gls,8,train_od_3_UW.csv,0.1,1,10,experiments/best_both_f3,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,10,True,False,0,0.4210529923439026,0.6045889854431152,0.15111200511455536
084df21e,eyepacs:train,2020-03-31 15:14:31,0:01:27,completed,base_loss=gls batch_size=8 csv_train=train_od_2_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_both_f3 lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=10 pretrained=yes save_model=no,gls,8,train_od_2_UW.csv,0.1,1,10,experiments/best_both_f3,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,10,True,False,0,0.44999998807907104,0.7974280118942261,0.7253850102424622
e56e08e2,eyepacs:train,2020-03-31 15:11:34,0:02:56,completed,base_loss=gls batch_size=8 csv_train=train_od_1_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_both_f3 lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=10 pretrained=yes save_model=no,gls,8,train_od_1_UW.csv,0.1,1,10,experiments/best_both_f3,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,10,True,False,0,0.619047999382019,0.8959469795227051,0.8061910271644592
4e7ea44d,eyepacs:train,2020-03-31 15:09:49,0:01:45,completed,base_loss=ce batch_size=8 csv_train=train_od_4_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_both_f3 lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=10 pretrained=yes save_model=no,ce,8,train_od_4_UW.csv,0.1,1,10,experiments/best_both_f3,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,10,True,False,0,0.47368401288986206,0.8174059987068176,0.48703399300575256
701cbbf4,eyepacs:train,2020-03-31 15:06:45,0:03:03,completed,base_loss=ce batch_size=8 csv_train=train_od_3_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_both_f3 lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=10 pretrained=yes save_model=no,ce,8,train_od_3_UW.csv,0.1,1,10,experiments/best_both_f3,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,10,True,False,0,0.4210529923439026,0.5797690153121948,0.3718380033969879
91db5981,eyepacs:train,2020-03-31 15:05:18,0:01:27,completed,base_loss=ce batch_size=8 csv_train=train_od_2_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_both_f3 lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=10 pretrained=yes save_model=no,ce,8,train_od_2_UW.csv,0.1,1,10,experiments/best_both_f3,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,10,True,False,0,0.5,0.8053590059280396,0.6283779740333557
f1e53093,eyepacs:train,2020-03-31 15:02:50,0:02:28,completed,base_loss=ce batch_size=8 csv_train=train_od_1_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_both_f3 lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=10 pretrained=yes save_model=no,ce,8,train_od_1_UW.csv,0.1,1,10,experiments/best_both_f3,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,10,True,False,0,0.619047999382019,0.8816949725151062,0.8031520247459412
6527554a,eyepacs:dr_grade_OD_UW,2020-03-31 15:02:48,0:24:28,completed,,,,,,,,,,,,,,,,,,0,0.4210529923439026,0.8047339916229248,0.44381898641586304
332e196c,eyepacs:train,2020-03-31 14:59:10,0:01:26,completed,base_loss=focal_loss batch_size=8 csv_train=train_od_4_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_both_f3 lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,focal_loss,8,train_od_4_UW.csv,0.1,1,10,experiments/best_both_f3,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.4210529923439026,0.8047339916229248,0.44381898641586304
97d1547e,eyepacs:train,2020-03-31 14:58:45,0:00:24,completed,base_loss=focal_loss batch_size=8 csv_train=train_od_3_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_both_f3 lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,focal_loss,8,train_od_3_UW.csv,0.1,1,10,experiments/best_both_f3,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.0,0.0,0.0
e46aa2fc,eyepacs:train,2020-03-31 14:58:15,0:00:29,completed,base_loss=focal_loss batch_size=8 csv_train=train_od_2_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_both_f3 lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,focal_loss,8,train_od_2_UW.csv,0.1,1,10,experiments/best_both_f3,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.30000001192092896,0.6504690051078796,0.6503499746322632
a1c083c2,eyepacs:train,2020-03-31 14:56:13,0:02:02,completed,base_loss=focal_loss batch_size=8 csv_train=train_od_1_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_both_f3 lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,focal_loss,8,train_od_1_UW.csv,0.1,1,10,experiments/best_both_f3,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.5238100290298462,0.8406789898872375,0.7469310164451599
5f9292e5,eyepacs:train,2020-03-31 14:54:46,0:01:26,completed,base_loss=gls batch_size=8 csv_train=train_od_4_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_both_f3 lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,gls,8,train_od_4_UW.csv,0.1,1,10,experiments/best_both_f3,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.4210529923439026,0.8015580177307129,0.4760909974575043
be43a651,eyepacs:train,2020-03-31 14:54:21,0:00:24,completed,base_loss=gls batch_size=8 csv_train=train_od_3_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_both_f3 lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,gls,8,train_od_3_UW.csv,0.1,1,10,experiments/best_both_f3,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.0,0.0,0.0
474cd0dc,eyepacs:train,2020-03-31 14:53:15,0:01:05,completed,base_loss=gls batch_size=8 csv_train=train_od_2_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_both_f3 lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,gls,8,train_od_2_UW.csv,0.1,1,10,experiments/best_both_f3,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.44999998807907104,0.7974280118942261,0.7253850102424622
a41e3efa,eyepacs:train,2020-03-31 14:50:41,0:02:34,completed,base_loss=gls batch_size=8 csv_train=train_od_1_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_both_f3 lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,gls,8,train_od_1_UW.csv,0.1,1,10,experiments/best_both_f3,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.619047999382019,0.8959469795227051,0.8061910271644592
7c64ee84,eyepacs:train,2020-03-31 14:49:19,0:01:22,completed,base_loss=ce batch_size=8 csv_train=train_od_4_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_both_f3 lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,ce,8,train_od_4_UW.csv,0.1,1,10,experiments/best_both_f3,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.47368401288986206,0.8174059987068176,0.48703399300575256
90a7be21,eyepacs:train,2020-03-31 14:48:15,0:01:03,completed,base_loss=ce batch_size=8 csv_train=train_od_3_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_both_f3 lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,ce,8,train_od_3_UW.csv,0.1,1,10,experiments/best_both_f3,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.4210529923439026,0.5323110222816467,0.04406699910759926
b9d3aba7,eyepacs:train,2020-03-31 14:47:10,0:01:05,completed,base_loss=ce batch_size=8 csv_train=train_od_2_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_both_f3 lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,ce,8,train_od_2_UW.csv,0.1,1,10,experiments/best_both_f3,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.5,0.8053590059280396,0.6283779740333557
3639ed92,eyepacs:train,2020-03-31 14:45:08,0:02:01,completed,base_loss=ce batch_size=8 csv_train=train_od_1_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_both_f3 lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,ce,8,train_od_1_UW.csv,0.1,1,10,experiments/best_both_f3,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.5714290142059326,0.8522409796714783,0.7339810132980347
57141add,eyepacs:dr_grade_OD_UW,2020-03-31 14:45:07,0:15:29,completed,,,,,,,,,,,,,,,,,,0,0.4210529923439026,0.8047339916229248,0.44381898641586304
b8e79995,eyepacs:train,2020-03-31 14:42:46,0:00:28,completed,base_loss=ce batch_size=8 csv_train=train_od_3_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_od_f1 lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,ce,8,train_od_3_UW.csv,0.1,1,10,experiments/best_od_f1,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.31578901410102844,0.5848680138587952,-0.06370700150728226
3d8ce1d7,eyepacs:train,2020-03-31 14:42:16,0:00:29,completed,base_loss=ce batch_size=8 csv_train=train_od_2_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=experiments/best_od_f1 lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,ce,8,train_od_2_UW.csv,0.1,1,10,experiments/best_od_f1,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.30000001192092896,0.75,0.39446398615837097
