run,operation,started,time,status,label,base_loss,batch_size,csv_train,decay_f,exp,lambd,load_checkpoint,lr,metric,model_name,n_epochs,optimizer,oversample,patience,pretrained,save_model,step,acc,auc,kappa
bacbb9b9,eyepacs:train,2020-03-31 13:15:59,0:02:48,completed,base_loss=focal_loss batch_size=8 csv_train=train_mac_4_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,focal_loss,8,train_mac_4_UW.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.65625,0.8493289947509766,0.7116469740867615
3e150666,eyepacs:train,2020-03-31 13:14:19,0:01:39,completed,base_loss=focal_loss batch_size=8 csv_train=train_mac_3_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,focal_loss,8,train_mac_3_UW.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.4545449912548065,0.8065289855003357,0.5051109790802002
b996edd3,eyepacs:train,2020-03-31 13:11:47,0:02:32,completed,base_loss=focal_loss batch_size=8 csv_train=train_mac_2_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,focal_loss,8,train_mac_2_UW.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.39393898844718933,0.8319780230522156,0.6927390098571777
6f17dd0d,eyepacs:train,2020-03-31 13:08:11,0:03:36,completed,base_loss=focal_loss batch_size=8 csv_train=train_mac_1_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,focal_loss,8,train_mac_1_UW.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.6206899881362915,0.9079599976539612,0.8287190198898315
37f6823c,eyepacs:train,2020-03-31 13:03:31,0:04:39,completed,base_loss=gls batch_size=8 csv_train=train_mac_4_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,gls,8,train_mac_4_UW.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.5625,0.8347240090370178,0.6330689787864685
5a916ece,eyepacs:train,2020-03-31 13:01:44,0:01:47,completed,base_loss=gls batch_size=8 csv_train=train_mac_3_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,gls,8,train_mac_3_UW.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.4848479926586151,0.7933719754219055,0.5494499802589417
f793d585,eyepacs:train,2020-03-31 12:59:04,0:02:40,completed,base_loss=gls batch_size=8 csv_train=train_mac_2_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,gls,8,train_mac_2_UW.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.39393898844718933,0.829945981502533,0.6967629790306091
3d682848,eyepacs:train,2020-03-31 12:55:50,0:03:13,completed,base_loss=gls batch_size=8 csv_train=train_mac_1_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,gls,8,train_mac_1_UW.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.6206899881362915,0.9193810224533081,0.840923011302948
f5dba401,eyepacs:train,2020-03-31 12:52:22,0:03:27,completed,base_loss=ce batch_size=8 csv_train=train_mac_4_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,ce,8,train_mac_4_UW.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.59375,0.8290330171585083,0.6519529819488525
fde151a7,eyepacs:train,2020-03-31 12:50:42,0:01:39,completed,base_loss=ce batch_size=8 csv_train=train_mac_3_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,ce,8,train_mac_3_UW.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.4545449912548065,0.8033949732780457,0.5132409930229187
9f797779,eyepacs:train,2020-03-31 12:48:40,0:02:02,completed,base_loss=ce batch_size=8 csv_train=train_mac_2_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,ce,8,train_mac_2_UW.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.4242419898509979,0.8211619853973389,0.7048159837722778
80e83e14,eyepacs:train,2020-03-31 12:46:40,0:02:00,completed,base_loss=ce batch_size=8 csv_train=train_mac_1_UW.csv decay_f=0.1 exp=1 lambd=10 load_checkpoint=models/resnet50_eyepacs lr=0.0001 metric=kappa_auc_avg model_name=resnet50 n_epochs=50 optimizer=sgd oversample=1/2/2/4/9 patience=5 pretrained=yes save_model=no,ce,8,train_mac_1_UW.csv,0.1,1,10,models/resnet50_eyepacs,0.0001,kappa_auc_avg,resnet50,50,sgd,1/2/2/4/9,5,True,False,0,0.5517240166664124,0.9272400140762329,0.7986109852790833
4d7aaf4a,eyepacs:dr_grade_MAC_UW,2020-03-31 12:46:38,0:32:08,completed,,,,,,,,,,,,,,,,,,0,0.65625,0.8493289947509766,0.7116469740867615
