run,operation,started,time,status,label,base_loss,batch_size,csv_train,decay_f,exp,lambd,load_checkpoint,lr,metric,model_name,n_classes,n_epochs,optimizer,oversample,patience,pretrained,save_model,step,acc,auc,kappa
ebfccb9c,eyepacs:train,2020-04-01 17:30:51,0:06:57,running,base_loss=ce batch_size=8 csv_train=train_artifact_4.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0003 metric=auc model_name=resnet50 n_classes=6 n_epochs=50 optimizer=sgd oversample=1/5/1/2/2/5 patience=5 pretrained=yes save_model=no,ce,8,train_artifact_4.csv,0.1,1,0,False,0.0003,auc,resnet50,6,50,sgd,1/5/1/2/2/5,5,True,False,,,,
78f45dff,eyepacs:train,2020-04-01 17:18:34,0:12:17,completed,base_loss=ce batch_size=8 csv_train=train_artifact_3.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0003 metric=auc model_name=resnext50_sws n_classes=6 n_epochs=50 optimizer=sgd oversample=1/5/1/2/2/5 patience=5 pretrained=yes save_model=no,ce,8,train_artifact_3.csv,0.1,1,0,False,0.0003,auc,resnext50_sws,6,50,sgd,1/5/1/2/2/5,5,True,False,0,0.6675000190734863,0.8769569993019104,0.7634559869766235
7e94513b,eyepacs:train,2020-04-01 17:04:54,0:13:39,completed,base_loss=ce batch_size=8 csv_train=train_artifact_3.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0003 metric=auc model_name=resnext50 n_classes=6 n_epochs=50 optimizer=sgd oversample=1/5/1/2/2/5 patience=5 pretrained=yes save_model=no,ce,8,train_artifact_3.csv,0.1,1,0,False,0.0003,auc,resnext50,6,50,sgd,1/5/1/2/2/5,5,True,False,0,0.6625000238418579,0.8778709769248962,0.7607200145721436
cef38b19,eyepacs:train,2020-04-01 16:42:07,0:22:47,completed,base_loss=ce batch_size=8 csv_train=train_artifact_3.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0003 metric=auc model_name=resnet50_sws n_classes=6 n_epochs=50 optimizer=sgd oversample=1/5/1/2/2/5 patience=5 pretrained=yes save_model=no,ce,8,train_artifact_3.csv,0.1,1,0,False,0.0003,auc,resnet50_sws,6,50,sgd,1/5/1/2/2/5,5,True,False,0,0.6800000071525574,0.8821939826011658,0.7859820127487183
74648b44,eyepacs:train,2020-04-01 16:29:12,0:12:54,completed,base_loss=ce batch_size=8 csv_train=train_artifact_3.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0003 metric=auc model_name=resnet50 n_classes=6 n_epochs=50 optimizer=sgd oversample=1/5/1/2/2/5 patience=5 pretrained=yes save_model=no,ce,8,train_artifact_3.csv,0.1,1,0,False,0.0003,auc,resnet50,6,50,sgd,1/5/1/2/2/5,5,True,False,0,0.6499999761581421,0.8791390061378479,0.775613009929657
dcd564ec,eyepacs:train,2020-04-01 16:15:27,0:13:44,completed,base_loss=ce batch_size=8 csv_train=train_artifact_2.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0003 metric=auc model_name=resnext50_sws n_classes=6 n_epochs=50 optimizer=sgd oversample=1/5/1/2/2/5 patience=5 pretrained=yes save_model=no,ce,8,train_artifact_2.csv,0.1,1,0,False,0.0003,auc,resnext50_sws,6,50,sgd,1/5/1/2/2/5,5,True,False,0,0.6675000190734863,0.8662559986114502,0.7437210083007812
0572f565,eyepacs:train,2020-04-01 15:57:36,0:17:51,completed,base_loss=ce batch_size=8 csv_train=train_artifact_2.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0003 metric=auc model_name=resnext50 n_classes=6 n_epochs=50 optimizer=sgd oversample=1/5/1/2/2/5 patience=5 pretrained=yes save_model=no,ce,8,train_artifact_2.csv,0.1,1,0,False,0.0003,auc,resnext50,6,50,sgd,1/5/1/2/2/5,5,True,False,0,0.6474999785423279,0.8657609820365906,0.7510039806365967
b7f371d8,eyepacs:train,2020-04-01 15:39:37,0:17:58,completed,base_loss=ce batch_size=8 csv_train=train_artifact_2.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0003 metric=auc model_name=resnet50_sws n_classes=6 n_epochs=50 optimizer=sgd oversample=1/5/1/2/2/5 patience=5 pretrained=yes save_model=no,ce,8,train_artifact_2.csv,0.1,1,0,False,0.0003,auc,resnet50_sws,6,50,sgd,1/5/1/2/2/5,5,True,False,0,0.6850000023841858,0.8643580079078674,0.768996000289917
4e87395a,eyepacs:train,2020-04-01 15:24:37,0:15:00,completed,base_loss=ce batch_size=8 csv_train=train_artifact_2.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0003 metric=auc model_name=resnet50 n_classes=6 n_epochs=50 optimizer=sgd oversample=1/5/1/2/2/5 patience=5 pretrained=yes save_model=no,ce,8,train_artifact_2.csv,0.1,1,0,False,0.0003,auc,resnet50,6,50,sgd,1/5/1/2/2/5,5,True,False,0,0.6675000190734863,0.8665689826011658,0.7684929966926575
cef5e7d2,eyepacs:train,2020-04-01 14:58:38,0:25:59,completed,base_loss=ce batch_size=8 csv_train=train_artifact_1.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0003 metric=auc model_name=resnext50_sws n_classes=6 n_epochs=50 optimizer=sgd oversample=1/5/1/2/2/5 patience=5 pretrained=yes save_model=no,ce,8,train_artifact_1.csv,0.1,1,0,False,0.0003,auc,resnext50_sws,6,50,sgd,1/5/1/2/2/5,5,True,False,0,0.6625000238418579,0.8750540018081665,0.7998549938201904
