run,operation,started,time,status,label,base_loss,batch_size,csv_train,decay_f,exp,lambd,load_checkpoint,lr,metric,model_name,n_classes,n_epochs,optimizer,oversample,patience,pretrained,save_model,step,acc,auc,kappa
f134b28a,eyepacs:train,2020-03-13 14:47:49,0:18:00,completed,base_loss=focal_loss batch_size=8 csv_train=train_clarity.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50_sws n_classes=5 n_epochs=50 optimizer=sgd oversample=8/3/1/1/1 patience=5 pretrained=yes save_model=no,focal_loss,8,train_clarity.csv,0.1,1,0,False,0.0001,auc,resnext50_sws,5,50,sgd,8/3/1/1/1,5,True,False,0,0.5450000166893005,0.8627380132675171,0.7715169787406921
3b913cc9,eyepacs:train,2020-03-13 14:11:49,0:35:59,completed,base_loss=focal_loss batch_size=8 csv_train=train_clarity.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50 n_classes=5 n_epochs=50 optimizer=sgd oversample=8/3/1/1/1 patience=5 pretrained=yes save_model=no,focal_loss,8,train_clarity.csv,0.1,1,0,False,0.0001,auc,resnext50,5,50,sgd,8/3/1/1/1,5,True,False,0,0.5274999737739563,0.8608149886131287,0.7451500296592712
fd719b8c,eyepacs:train,2020-03-13 13:46:15,0:25:34,completed,base_loss=focal_loss batch_size=8 csv_train=train_clarity.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50_sws n_classes=5 n_epochs=50 optimizer=sgd oversample=8/3/1/1/1 patience=5 pretrained=yes save_model=no,focal_loss,8,train_clarity.csv,0.1,1,0,False,0.0001,auc,resnet50_sws,5,50,sgd,8/3/1/1/1,5,True,False,0,0.5525000095367432,0.8559010028839111,0.7572199702262878
71e77d91,eyepacs:train,2020-03-13 13:18:19,0:27:55,completed,base_loss=focal_loss batch_size=8 csv_train=train_clarity.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50 n_classes=5 n_epochs=50 optimizer=sgd oversample=8/3/1/1/1 patience=5 pretrained=yes save_model=no,focal_loss,8,train_clarity.csv,0.1,1,0,False,0.0001,auc,resnet50,5,50,sgd,8/3/1/1/1,5,True,False,0,0.5625,0.8600220084190369,0.7446699738502502
d99d16ee,eyepacs:train,2020-03-13 13:06:03,0:12:15,completed,base_loss=focal_loss batch_size=8 csv_train=train_clarity.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.001 metric=auc model_name=resnext50_sws n_classes=5 n_epochs=50 optimizer=sgd oversample=8/3/1/1/1 patience=5 pretrained=yes save_model=no,focal_loss,8,train_clarity.csv,0.1,1,0,False,0.001,auc,resnext50_sws,5,50,sgd,8/3/1/1/1,5,True,False,0,0.5299999713897705,0.8569890260696411,0.7201020121574402
1ff92b07,eyepacs:train,2020-03-13 12:34:10,0:31:52,completed,base_loss=focal_loss batch_size=8 csv_train=train_clarity.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.001 metric=auc model_name=resnext50 n_classes=5 n_epochs=50 optimizer=sgd oversample=8/3/1/1/1 patience=5 pretrained=yes save_model=no,focal_loss,8,train_clarity.csv,0.1,1,0,False,0.001,auc,resnext50,5,50,sgd,8/3/1/1/1,5,True,False,0,0.5799999833106995,0.8714269995689392,0.7387539744377136
6f7e0663,eyepacs:train,2020-03-13 12:21:27,0:12:43,completed,base_loss=focal_loss batch_size=8 csv_train=train_clarity.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.001 metric=auc model_name=resnet50_sws n_classes=5 n_epochs=50 optimizer=sgd oversample=8/3/1/1/1 patience=5 pretrained=yes save_model=no,focal_loss,8,train_clarity.csv,0.1,1,0,False,0.001,auc,resnet50_sws,5,50,sgd,8/3/1/1/1,5,True,False,0,0.5400000214576721,0.8566700220108032,0.7297809720039368
33d7411a,eyepacs:train,2020-03-13 12:10:25,0:11:01,completed,base_loss=focal_loss batch_size=8 csv_train=train_clarity.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.001 metric=auc model_name=resnet50 n_classes=5 n_epochs=50 optimizer=sgd oversample=8/3/1/1/1 patience=5 pretrained=yes save_model=no,focal_loss,8,train_clarity.csv,0.1,1,0,False,0.001,auc,resnet50,5,50,sgd,8/3/1/1/1,5,True,False,0,0.5600000023841858,0.8562470078468323,0.7235260009765625
45a05cb7,eyepacs:train,2020-03-13 11:51:45,0:18:40,completed,base_loss=ce batch_size=8 csv_train=train_clarity.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50_sws n_classes=5 n_epochs=50 optimizer=sgd oversample=8/3/1/1/1 patience=5 pretrained=yes save_model=no,ce,8,train_clarity.csv,0.1,1,0,False,0.0001,auc,resnext50_sws,5,50,sgd,8/3/1/1/1,5,True,False,0,0.5299999713897705,0.866204023361206,0.7466599941253662
e12ca247,eyepacs:train,2020-03-13 11:26:36,0:25:09,completed,base_loss=ce batch_size=8 csv_train=train_clarity.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50 n_classes=5 n_epochs=50 optimizer=sgd oversample=8/3/1/1/1 patience=5 pretrained=yes save_model=no,ce,8,train_clarity.csv,0.1,1,0,False,0.0001,auc,resnext50,5,50,sgd,8/3/1/1/1,5,True,False,0,0.5325000286102295,0.864844024181366,0.7466350197792053
