run,operation,started,time,status,label,step,auc,base_loss,batch_size,csv_train,decay_f,exp,lambd,load_checkpoint,lr,metric,model_name,n_classes,n_epochs,optimizer,patience,pretrained,save_model
0f4f8809,eyepacs:dr_grade_quality_multi_task_OS,2020-03-29 20:20:40,0:30:45,completed,,0,0.8557339906692505,,,,,,,,,,,,,,,,
574b01a6,eyepacs:train_multi_task,2020-03-29 19:06:57,0:43:42,completed,base_loss=ce batch_size=8 csv_train=train_all_qualities_2.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50_sws n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,0,0.8367559909820557,ce,8,train_all_qualities_2.csv,0.1,1,0,False,0.0001,auc,resnext50_sws,18,200,sgd,10,True,False
9f556255,eyepacs:train_multi_task,2020-03-29 18:45:50,0:21:07,completed,base_loss=ce batch_size=8 csv_train=train_all_qualities_2.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50_sws n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,0,0.8365439772605896,ce,8,train_all_qualities_2.csv,0.1,1,0,False,0.0001,auc,resnet50_sws,18,200,sgd,10,True,False
8a9bb179,eyepacs:train_multi_task,2020-03-29 17:45:22,1:00:28,completed,base_loss=ce batch_size=8 csv_train=train_all_qualities_1.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50_sws n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,0,0.8570780158042908,ce,8,train_all_qualities_1.csv,0.1,1,0,False,0.0001,auc,resnext50_sws,18,200,sgd,10,True,False
e4fd0367,eyepacs:train_multi_task,2020-03-29 17:21:38,0:23:43,completed,base_loss=ce batch_size=8 csv_train=train_all_qualities_1.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50_sws n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,0,0.8564119935035706,ce,8,train_all_qualities_1.csv,0.1,1,0,False,0.0001,auc,resnet50_sws,18,200,sgd,10,True,False
cf29ad38,eyepacs:dr_grade_quality_multi_task,2020-03-29 17:21:37,2:29:02,completed,,0,0.8367559909820557,,,,,,,,,,,,,,,,
aaf8c98a,eyepacs:train_multi_task,2020-03-29 11:18:21,2:23:32,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_qualities_4.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50 n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,0,0.8213170170783997,focal_loss,8,train_all_qualities_4.csv,0.1,1,0,False,0.0001,auc,resnext50,18,200,sgd,10,True,False
f321c897,eyepacs:train_multi_task,2020-03-29 10:42:14,0:36:06,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_qualities_4.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50_sws n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,0,0.8235480189323425,focal_loss,8,train_all_qualities_4.csv,0.1,1,0,False,0.0001,auc,resnet50_sws,18,200,sgd,10,True,False
23bba69f,eyepacs:train_multi_task,2020-03-29 07:59:54,2:42:20,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_qualities_3.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnext50 n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,0,0.8386449813842773,focal_loss,8,train_all_qualities_3.csv,0.1,1,0,False,0.0001,auc,resnext50,18,200,sgd,10,True,False
b4c1102f,eyepacs:train_multi_task,2020-03-29 07:10:04,0:49:49,completed,base_loss=focal_loss batch_size=8 csv_train=train_all_qualities_3.csv decay_f=0.1 exp=1 lambd=0 load_checkpoint=no lr=0.0001 metric=auc model_name=resnet50_sws n_classes=18 n_epochs=200 optimizer=sgd patience=10 pretrained=yes save_model=no,0,0.8448169827461243,focal_loss,8,train_all_qualities_3.csv,0.1,1,0,False,0.0001,auc,resnet50_sws,18,200,sgd,10,True,False
